Image Name,Raw Output (All Detected Words),Number Plates,Confidence Score
vehicle\444R104022602101_vehicle.jpg,Goods Carrier | AP28TD7284,AP28TD7284,65.69%
vehicle\444R104022602102_vehicle.jpg,GOODS CARRIER | 02U | C 4086,None detected,N/A
vehicle\444R104022602103_vehicle.jpg,RHS | TS08HX 1678,TS08HX 1678,91.66%
vehicle\444R104022602104_vehicle.jpg,58 km/h | BIKE | TS17E1640 | CH: CH: 444+420 RHS | 026-02-04 11:09:12 | 1,TS17E1640,95.82%
vehicle\444R104022602105_vehicle.jpg,1 | 1 | Tax | 2 | #3 | the | a ARE | A,None detected,N/A
vehicle\444R104022602106_vehicle.jpg,TS07KA4678 | M,TS07KA4678,94.43%
vehicle\444R104022602107_vehicle.jpg,: | the | CAX | the | the | % | the $,None detected,N/A
vehicle\444R104022602108_vehicle.jpg,CNG | IND TG 35 7886,None detected,N/A
vehicle\444R104022602109_vehicle.jpg,S | TS09FQ15 | .,None detected,N/A
vehicle\444R104022602110_vehicle.jpg,Speed: 52 km/h | Class: LCV | Plate: AP29V2142 | Lane: 11 CH: 444+420 RHS | Date: 2026-02-04 11:09:43 | TSO,AP29V2142,98.72%
vehicle\444R104022602111_vehicle.jpg,IND | TS07 JA4599,TS07 JA4599,96.82%
vehicle\444R104022602113_vehicle.jpg,"3 | ""-"" | the",None detected,N/A
vehicle\444R104022602114_vehicle.jpg,44+420 RHS | FOR | HIRE | AP2 | 61,None detected,N/A
vehicle\444R104022602115_vehicle.jpg,4 | SECTION | IND TS3,None detected,N/A
vehicle\444R104022602116_vehicle.jpg,ASHOK LEYLAND | TN 70 | TC -,None detected,N/A
vehicle\444R104022602118_vehicle.jpg,1 | the | Cax 11 | - | and | is | A | A of | $ 15 | the the | and 1 1 1 | ⑈ | and | * and,None detected,N/A
vehicle\444R104022602119_vehicle.jpg,de | X,None detected,N/A
vehicle\444R104022602120_vehicle.jpg,: 444+420 RHS | wn | 1111 | 0000000 | 000000 | 0000000 | m/h | Road | X,None detected,N/A
vehicle\444R104022602121_vehicle.jpg,Suly | PO | 0000000 | 00000004 | TIIIII | 100000 | 0000000 | ПИНЦ | TATA | e | LAKSHMI | SIGNA,None detected,N/A
vehicle\444R104022602122_vehicle.jpg,TS07JK8643,TS07JK8643,90.62%
vehicle\444R104022602123_vehicle.jpg,Plate: TS09FN1876 | Class: CAR | Speed: 57 km/h,TS09FN1876,98.6%
vehicle\444R104022602124_vehicle.jpg,08U628 | RUCK | km/h | Ro ad,None detected,N/A
vehicle\444R104022602125_vehicle.jpg,+420 RHS | - | SIGNA | do Ear | TATA | Ro ad | King,None detected,N/A
vehicle\444R104022602126_vehicle.jpg,MOTOR CAB | TG 08 T 5394,TG 08 T 5394,83.09%
vehicle\444R104022602127_vehicle.jpg,Date: 2026-02-04 11:11:54 | Lane: 11 CH: 444+420 RHS | Plate: HR38AK1444 | Class: TRUCK | Speed: 0 km/h | Cax,HR38AK1444,98.77%
vehicle\444R104022602128_vehicle.jpg,1 | the | K | S,None detected,N/A
vehicle\444R104022602129_vehicle.jpg,RHS | TG15U1193 | AUTO | 63 km/h | A,TG15U1193,99.74%
vehicle\444R104022602130_vehicle.jpg,GOVT. HICLE | IND | TG 09 D 4267,TG 09 D 4267,98.12%
vehicle\444R104022602131_vehicle.jpg,2:23 | RHS | CII | Driving | S | AIP | AP39 | Y4470- | .,AP39 Y4470,76.15%
vehicle\444R104022602133_vehicle.jpg,E | I,None detected,N/A
vehicle\444R104022602134_vehicle.jpg,12:48 | RHS | +V+ | ISI | TS16EG9716,TS16EG9716,74.35%
vehicle\444R104022602135_vehicle.jpg,04 11:13:04 | 4+420 RHS | 7 | I\V// | TG08E9117,TG08E9117,83.2%
vehicle\444R104022602136_vehicle.jpg,AP36 AL 3887,AP36 AL 3887,96.42%
vehicle\444R104022602137_vehicle.jpg,1. | 1 | $ | CAX | YS | A | -,None detected,N/A
vehicle\444R104022602138_vehicle.jpg,4+420 RHS | TS 16 | Z0311,TS 16 Z0311,98.76%
vehicle\444R104022602140_vehicle.jpg,13:35 | RHS | THE,None detected,N/A
vehicle\444R104022602141_vehicle.jpg,:53 | HS,None detected,N/A
vehicle\444R104022602142_vehicle.jpg,TS08GR1155,TS08GR1155,74.28%
vehicle\444R104022602143_vehicle.jpg,and | IND TS07GJ6688,TS07GJ6688,82.7%
vehicle\444R104022602144_vehicle.jpg,420 RHS | AP11 AP 8226,AP11 AP 8226,99.49%
vehicle\444R104022602145_vehicle.jpg,FRESS VEHICLE FRAM | TS26 E 1111,TS26 E 1111,98.18%
vehicle\444R104022602146_vehicle.jpg,KIA | TS08HE3899,TS08HE3899,74.14%
vehicle\444R104022602147_vehicle.jpg,"44+420 RHS | 288 | "" | Road .",None detected,N/A
vehicle\444R104022602149_vehicle.jpg,6:37 | RHS | ASHOK L | TG3,None detected,N/A
vehicle\444R104022602151_vehicle.jpg,,None detected,N/A
vehicle\444R104022602152_vehicle.jpg,6-02-04 11:16:49 | CH: 444+420 RHS | 3B9259 | CK | km/h | LA | HR73B | 9259,HR73B 9259,99.84%
vehicle\444R104022602154_vehicle.jpg,16:54 | RHS | ND | TS08JL4114,TS08JL4114,89.52%
vehicle\444R104022602155_vehicle.jpg,AMOUNT | IND | TS10FA4680,TS10FA4680,96.5%
vehicle\444R104022602156_vehicle.jpg,I | A | TS,None detected,N/A
vehicle\444R104022602157_vehicle.jpg,GOODS CARRIER | nell | TC17 T 157 | TG17 T 1574,TG17 T 1574,91.39%
vehicle\444R104022602158_vehicle.jpg,Mahindra | TS 17 K 0001,TS 17 K 0001,76.96%
vehicle\444R104022602159_vehicle.jpg,TS08 KA 0003 | NDO,TS08 KA 0003,84.48%
vehicle\444R104022602160_vehicle.jpg,CONTRACT CARRIAGE | TS12 U-D 3364,TS12 UD 3364,84.74%
vehicle\444R104022602161_vehicle.jpg,JAI SANTOS,None detected,N/A
vehicle\444R104022602162_vehicle.jpg,one: 1| CH: 444+420 RHS | B | late: KL07B208 | OSS: TRUCK | eed: 59 km/h,None detected,N/A
vehicle\444R104022602163_vehicle.jpg,"KRISHNA AUTOTI | PVT. LTD. | "" | RBA (C.G.) 72470 | 15@gmail.com TATA | SIGNA",None detected,N/A
vehicle\444R104022602164_vehicle.jpg,Pro5042 | EICHER | GJ18B | V5038,GJ18B V5038,96.42%
vehicle\444R104022602166_vehicle.jpg,TS13 FB 1534,TS13 FB 1534,99.89%
vehicle\444R104022602167_vehicle.jpg,AP29 BP 2496,AP29 BP 2496,99.71%
vehicle\444R104022602168_vehicle.jpg,loi | TS16EA3336,TS16EA3336,99.49%
vehicle\444R104022602169_vehicle.jpg,", | и | TG 01",None detected,N/A
vehicle\444R104022602170_vehicle.jpg,11:18:52 | 420 RHS | Be | EUTECH6 | Pro 3018 | non | I C | :: | KA53A | B5735,None detected,N/A
vehicle\444R104022602171_vehicle.jpg,H | TS09FE7661,TS09FE7661,93.24%
vehicle\444R104022602172_vehicle.jpg,RJ32 | ST | ROAD | GD8065 | (,None detected,N/A
vehicle\444R104022602174_vehicle.jpg,TG 17 4842,None detected,N/A
vehicle\444R104022602175_vehicle.jpg,IIIMII | TSOB JX 4477,TS08 JX 4477,86.44%
vehicle\444R104022602176_vehicle.jpg,TS07HW 1099,TS07HW 1099,87.83%
vehicle\444R104022602177_vehicle.jpg,-04 11:19:41 | 44+420 RHS | 793 | 100 | Road | TS08UJ0793 | Kind,TS08UJ0793,95.55%
vehicle\444R104022602178_vehicle.jpg,4 11:19:59 | ASHOK LEYLAND | +420 RHS | L | N | KA41 | D5723,KA41 D5723,94.02%
vehicle\444R104022602180_vehicle.jpg,HS | H | TS36T135,None detected,N/A
vehicle\444R104022602181_vehicle.jpg,FROM | 3,None detected,N/A
vehicle\444R104022602182_vehicle.jpg,,None detected,N/A
